id,ev_id,o_id,ev_type,time,latitude,longitude,depth,mag_type,mag,mag_plot_size,method_id,evaluation_mode,author,rms,az_gap,num_phase
54,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjwoavnna,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415125621.870539.6086197,None,2024-04-15T12:56:11.646019Z,46.51061951,8.476082042,-1393.67739,MwA,-3.964283963,1.228217544,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,5.87E-05,123.2525356,7
55,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjwoazxna,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415125623.203001.6086294,None,2024-04-15T12:56:12.102190Z,46.51055941,8.476213227,-1383.673442,MwA,-4.475792452,0.681586613,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,6.22E-05,101.9984242,6
56,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjwohapaa,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415125639.694875.6086864,None,2024-04-15T12:56:28.396354Z,46.51053918,8.47623072,-1380.071421,MwA,-4.076100622,1.079858789,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,1.31E-04,105.6266036,13
57,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjwpdlcaa,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415125739.187642.6088890,None,2024-04-15T12:57:28.976193Z,46.51054002,8.476214591,-1380.158445,MwA,-4.38653206,0.755355243,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,2.10E-05,189.6603642,6
58,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjwpdoitn,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415125739.562513.6088946,None,2024-04-15T12:57:29.315981Z,46.51047139,8.476034398,-1398.173974,MwA,-4.247737792,0.886233948,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,7.83E-05,67.71273215,9
59,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjwrhazna,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415130009.532134.6094031,None,2024-04-15T12:59:59.350308Z,46.51056336,8.4761262,-1393.913536,MwA,-4.221713807,0.913188376,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,6.30E-05,87.88099655,7
60,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjwrxuuna,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415130054.877842.6096750,None,2024-04-15T13:00:44.674636Z,46.51039744,8.476120845,-1380.12477,MwA,-3.878165139,1.356234253,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,3.82E-05,263.8379831,5
61,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjwtdwwna,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415130221.768277.2012,None,2024-04-15T13:02:11.418698Z,46.51046949,8.476077155,-1403.476344,MwA,-3.436666344,2.254675814,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,0.000107602,75.59722715,17
62,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjwtyvzaa,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415130318.419531.4524,None,2024-04-15T13:03:08.108274Z,46.5105404,8.476229841,-1380.525412,MwA,-4.197804488,0.938674531,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,1.04E-04,103.9645634,12
63,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjwuagnna,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415130322.837572.4706,None,2024-04-15T13:03:11.910367Z,46.51052218,8.476100723,-1397.752737,MwA,-4.297299305,0.837081272,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,6.05E-05,87.60318041,8
64,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjwuldttn,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415130351.823553.5419,None,2024-04-15T13:03:41.374683Z,46.51071783,8.476710633,-1402.276753,MwA,-3.157377448,3.109772038,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,0.000192774,192.7489408,21
